UID	Locale	Translation
ES-CT	en	Catalonia
ES-CT-B	es	Barcelona
ES-CT-B	ca	Barcelona
ES-CT-B	eu	Barcelona
ES-CT-B	ga	Barcelona
ES-CT-B	en	Barcelona
ES-CT-GI	es	Girona
ES-CT-GI	ca	Girona
ES-CT-GI	eu	Girona
ES-CT-GI	ga	Girona
ES-CT-GI	en	Girona
ES-CT-L	es	Lleida
ES-CT-L	ca	Lleida
ES-CT-L	eu	Lleida
ES-CT-L	ga	Lleida
ES-CT-L	en	Lleida
ES-CT-T	es	Tarragona
ES-CT-T	ca	Tarragona
ES-CT-T	eu	Tarragona
ES-CT-T	ga	Tarragona
ES-CT-T	en	Tarragona
ES-EX	es	Extremadura
ES-EX	ca	Extremadura
ES-EX	eu	Extremadura
ES-EX	ga	Extremadura
ES-EX	en	Extremadura
ES-EX-BA	es	Badajoz
ES-EX-BA	ca	Badajoz
ES-EX-BA	eu	Badajoz
ES-EX-BA	ga	Badajoz
ES-EX-BA	en	Badajoz
ES-EX-CC	es	Cáceres
ES-EX-CC	ca	Cáceres
ES-EX-CC	eu	Cáceres
ES-EX-CC	ga	Cáceres
ES-EX-CC	en	Cáceres
ES-GA	es	Galicia
ES-GA	ca	Galicia
ES-GA	eu	Galicia
ES-GA	ga	Galicia
ES-GA	en	Galicia
ES-GA-C	es	A Coruña
ES-GA-C	ca	A Coruña
ES-GA-C	eu	A Coruña
ES-GA-C	ga	A Coruña
ES-GA-C	en	A Coruña
ES-GA-LU	es	Lugo
ES-GA-LU	ca	Lugo
ES-GA-LU	eu	Lugo
ES-GA-LU	ga	Lugo
ES-GA-LU	en	Lugo
ES-GA-OR	es	Ourense
ES-GA-OR	ca	Ourense
ES-GA-OR	eu	Ourense
ES-GA-OR	ga	Ourense
ES-GA-OR	en	Ourense
ES-GA-PO	es	Pontevedra
ES-GA-PO	ca	Pontevedra
ES-GA-PO	eu	Pontevedra
ES-GA-PO	ga	Pontevedra
ES-GA-PO	en	Pontevedra
ES-IB	es	Islas Baleares
ES-IB	ca	Illes Balears
ES-IB	eu	Islas Baleares
ES-IB	ga	Islas Baleares
ES-IB	en	Balearic Islands
ES-IB-PM	es	Balears
ES-IB-PM	ca	Balears
ES-IB-PM	eu	Balears
ES-IB-PM	ga	Balears
ES-IB-PM	en	Balears
ES-MC	es	Región de Murcia
ES-MC	ca	Región de Murcia
ES-MC	eu	Región de Murcia
ES-MC	ga	Región de Murcia
ES-MC	en	Region of Murcia
ES-MC-MU	es	Murcia
ES-MC-MU	ca	Murcia
ES-MC-MU	eu	Murcia
ES-MC-MU	ga	Murcia
ES-MC-MU	en	Murcia
ES-MD	es	Comunidad de Madrid
